Day,Time,Event
06/09/2018,1000,Steam
06/09/2018,1200,Steam
06/09/2018,1400,Steam
06/09/2018,1600,Steam
06/09/2018,1800,Steam
06/09/2018,2000,Steam
06/09/2018,2200,Steam
06/09/2018,2400,Steam
06/10/2018,0200,Station 1
06/10/2018,4000,Station 1
06/10/2018,0600,Station 1
06/10/2018,0800,Station 1
06/10/2018,1000,Station 1
06/10/2018,1200,Station 1
06/10/2018,1400,Station 1
06/10/2018,1600,Station 1
06/10/2018,1800,Station 1
06/10/2018,2000,Station 1
06/10/2018,2200,Station 1
06/10/2018,2400,Station 1
06/11/2018,0200,Station 1
06/11/2018,0400,Station 1
06/11/2018,0600,Station 1
06/11/2018,0800,Station 1
06/11/2018,1000,Station 1
06/11/2018,1200,Unknown
06/11/2018,1400,Unknown
06/11/2018,1600,Unknown
06/11/2018,1800,Unknown
06/11/2018,2000,Unknown
06/11/2018,2200,Unknown
06/11/2018,2400,Unknown
06/12/2018,0200,Unknown
06/12/2018,0400,Unknown
06/12/2018,0600,Unknown
06/12/2018,0800,Unknown
06/12/2018,1000,Unknown
06/12/2018,1200,Unknown
06/12/2018,1400,Unknown
06/12/2018,1600,Unknown
06/12/2018,1800,Unknown
06/12/2018,2000,Unknown
06/12/2018,2200,Unknown
06/12/2018,2400,Unknown
06/13/2018,0200,Unknown
06/13/2018,0400,Unknown
06/13/2018,0600,Unknown
06/13/2018,0800,Unknown
06/13/2018,1000,Unknown
06/13/2018,1200,Unknown
06/13/2018,1400,Unknown
06/13/2018,1600,Unknown
06/13/2018,1800,Unknown
06/13/2018,2000,Unknown
06/13/2018,2200,Unknown
06/13/2018,2400,Unknown
06/14/2018,0200,Unknown
06/14/2018,0400,Unknown
06/14/2018,0600,Station 2
06/14/2018,0800,Station 2
06/14/2018,1000,Station 2
06/14/2018,1200,Station 2
06/14/2018,1400,Station 2
06/14/2018,1600,Station 2
06/14/2018,1800,Station 2
06/14/2018,2000,Station 2
06/14/2018,2200,Station 2
06/14/2018,2400,Station 2
06/15/2018,0200,Station 2
06/15/2018,0400,Station 2
06/15/2018,0600,Station 2
06/15/2018,0800,Station 2
06/15/2018,1000,Station 2
06/15/2018,1200,Station 2
06/15/2018,1400,Station 2
06/15/2018,1600,Station 2
06/15/2018,1800,Station 2
06/15/2018,2000,Station 2
06/15/2018,2200,Station 2
06/15/2018,2400,Station 2
06/16/2018,0200,Steam
06/16/2018,0400,Steam
06/16/2018,0600,Steam
06/16/2018,0800,Steam
06/16/2018,1000,Steam
06/16/2018,1200,Steam
06/16/2018,1400,Steam
06/16/2018,1600,Station 3
06/16/2018,1800,Station 3
06/16/2018,2000,Station 3
06/16/2018,2200,Station 3
06/16/2018,2400,Station 3
06/17/2018,0200,Station 3
06/17/2018,0400,Station 3
06/17/2018,0600,Station 3
06/17/2018,0800,Station 3
06/17/2018,1000,Station 3
06/17/2018,1200,Station 3
06/17/2018,1400,Station 3
06/17/2018,1600,Station 3
06/17/2018,1800,Station 3
06/17/2018,2000,Station 3
06/17/2018,2200,Station 3
06/17/2018,2400,Station 3
06/18/2018,0200,Station 3
06/18/2018,0400,Station 3
06/18/2018,0600,Station 3
06/18/2018,0800,Station 3
06/18/2018,1000,Station 3
06/18/2018,1200,Station 3
06/18/2018,1400,Station 3
06/18/2018,1600,Station 3
06/18/2018,1800,Steam
06/18/2018,2000,Steam
06/18/2018,2200,Steam
06/18/2018,2400,Steam
06/19/2018,0200,Steam
06/19/2018,0400,Steam
06/19/2018,0600,Steam
06/19/2018,0800,Steam
06/19/2018,1000,Station 3.5
06/19/2018,1200,Station 3.5
06/19/2018,1400,Station 3.5
06/19/2018,1600,Station 3.5
06/19/2018,1800,Station 3.5
06/19/2018,2000,Station 3.5
06/19/2018,2200,Station 3.5
06/19/2018,2400,Station 3.5
06/20/2018,0200,Station 3.5
06/20/2018,0400,Station 3.5
06/20/2018,0600,Station 3.5
06/20/2018,0800,Station 3.5
06/20/2018,1000,Steam
06/20/2018,1200,Steam
06/20/2018,1400,Steam
06/20/2018,1600,Steam
06/20/2018,1800,Steam
06/20/2018,2000,Steam
06/20/2018,2200,Steam
06/20/2018,2400,Steam
06/21/2018,0200,Station 4
06/21/2018,0400,Station 4
06/21/2018,0600,Station 4
06/21/2018,0800,Station 4
06/21/2018,1000,Station 4
06/21/2018,1200,Station 4
06/21/2018,1400,Station 4
06/21/2018,1600,Station 4
06/21/2018,1800,Station 4
06/21/2018,2000,Station 4
06/21/2018,2200,Station 4
06/21/2018,2400,Steam
06/22/2018,0200,Steam
06/22/2018,0400,Steam
06/22/2018,0600,Steam
06/22/2018,0800,Steam
06/22/2018,1000,Steam
06/22/2018,1200,Steam
06/22/2018,1400,Steam
06/22/2018,1600,Steam
06/22/2018,1800,Steam
06/22/2018,2000,Steam
06/22/2018,2200,Steam
06/22/2018,2400,Steam
06/23/2018,0200,Steam
06/23/2018,0400,Station 5
06/23/2018,0600,Station 5
06/23/2018,0800,Station 5
06/23/2018,1000,Station 5
06/23/2018,1200,Station 5
06/23/2018,1400,Station 5
06/23/2018,1600,Station 5
06/23/2018,1800,Station 5
06/23/2018,2000,Station 5
06/23/2018,2200,Station 5
06/23/2018,2400,Steam
06/24/2018,0200,Steam
06/24/2018,0400,Steam
06/24/2018,0600,Steam
06/24/2018,0800,Steam
06/24/2018,1000,Steam
06/24/2018,1200,Steam
06/24/2018,1400,Steam
06/24/2018,1600,Steam
06/24/2018,1800,Steam
06/24/2018,2000,Steam
06/24/2018,2200,Steam
06/24/2018,2400,Steam
06/25/2018,0200,Steam
06/25/2018,0400,Steam
06/25/2018,0600,Steam
06/25/2018,0800,Steam
06/25/2018,1000,Steam
06/25/2018,1200,Steam
06/25/2018,1400,Steam
06/25/2018,1600,Steam
06/25/2018,1800,Steam
06/25/2018,2000,Steam
06/25/2018,2200,Steam
06/25/2018,2400,Steam
06/26/2018,0200,Steam
06/26/2018,0400,Steam
06/26/2018,0600,Steam
06/26/2018,0800,Steam
06/26/2018,1000,Steam
